,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,obs_date_yyyy,lat_dd,long_dd
9199,S1986TN163045_87P0136,7.097410000000001,0.0,0.0,30.0,1.0,0.0,1986,36.45306,-82.68
9200,S1986TN163046_87P0137,4.8988000000000005,0.0,0.0,30.0,1.0,0.0,1986,36.45306,-82.68
9201,S1986TN163043_87P0138,7.07301,0.0,0.0,30.0,1.0,0.0,1986,36.45917,-82.61222
9202,86TN163 Bellamy-OSD_87P0140,6.076079999999999,0.0,0.0,30.0,1.0,0.0,1986,36.44444,-82.62083
9203,S1986TN163025_87P0142,6.4978,0.0,0.0,30.0,1.0,0.0,1986,36.46167,-82.60833
9204,86TN163 Pettyjon-OSD_87P0143,6.45405,0.0,0.0,30.0,1.0,0.0,2006,36.44703,-82.62125
9205,86TN163 Bloomingdale-OSD_87P0144,6.20976,0.0,0.0,30.0,1.0,0.0,1986,36.57333,-82.435
9206,S1986TX423005_87P0180,2.1064000000000003,0.0,0.0,30.0,1.0,0.0,1986,32.43611,-95.1
9207,S1987TX303001_87P0213,3.1479599999999994,0.0,0.0,30.0,1.0,0.0,1987,33.60222,-101.90833
9208,S1987TX303002_87P0214,2.3551200000000003,0.0,0.0,30.0,1.0,0.0,1987,33.60222,-101.90861
9209,S1986CA019033_87P0228,1.29319,0.0,0.0,30.0,1.0,0.0,1986,36.6225,-120.665
9210,S1986CA019036_87P0231,3.1423500000000004,0.0,0.0,30.0,1.0,0.0,1986,36.57917,-120.68723
9211,S1986CA019041_87P0236,1.1832,0.0,0.0,30.0,1.0,0.0,1986,36.60472,-120.68056
9212,86CA019043_87P0238,3.76686,0.0,0.0,30.0,1.0,0.0,1905,36.61355,-120.65904
9213,S1986CA019051_87P0246,1.5912000000000002,0.0,0.0,30.0,1.0,0.0,1986,36.57195,-120.60639
9214,S1984CA019001_87P0248,0.85716,0.0,0.0,30.0,1.0,0.0,1984,36.53695,-120.56167
9215,S1984CA019012_87P0249,1.2614999999999998,0.0,0.0,30.0,1.0,0.0,1984,36.48389,-120.56416
9216,S1987AZ015001_87P0250,4.346909999999999,0.0,0.0,30.0,1.0,0.0,1987,34.96861,-114.59972
9217,S1987AZ005001_87P0251,5.33139,0.0,0.0,30.0,1.0,0.0,1987,35.60361,-111.62111
9218,S1987TN091001_87P0252,6.382419999999999,0.0,0.0,30.0,1.0,0.0,1987,36.46583,-81.92944
9219,S1987TN163020_87P0253,24.08244,0.0,0.0,30.0,1.0,0.0,1987,36.44167,-82.12695
9220,S1987TN163031_87P0254,5.118320000000001,0.0,0.0,30.0,1.0,0.0,1987,36.60611,-81.90334
9221,S1987TN163032_87P0255,4.41235,0.0,0.0,30.0,1.0,0.0,1987,36.49583,-82.06778
